k,time_s,safety_mode,ctrl_mode,fw,vdc,rs,wm,omega_ref,id_ref,iq_ref,id_fw,theta_ref,theta_mech,epos_live,epos_pi,espd,i_alpha,i_beta,tl_hat,mpcJ,enc,iq_inj,frf_freq_hz
24,0.00120000,0,1,0,49.703720,0.447232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001194,0.206365,0.008285,0.007871,0,0.000000,0.000000
25,0.00125000,0,1,0,49.743652,0.447238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007567,0.260065,0.012552,0.012511,0,0.000000,0.000000
26,0.00130000,0,1,0,49.781475,0.445821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014194,0.310441,0.017512,0.009817,0,0.000000,0.000000
27,0.00135000,0,1,0,49.817139,0.446639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.135512,0.130279,0.018983,0.006156,0,0.000000,0.000000
28,0.00140000,0,1,0,49.850582,0.446659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.213017,0.120216,0.020200,0.011058,0,0.000000,0.000000
29,0.00145000,0,1,0,49.881760,0.445236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.269785,0.139964,0.021713,0.009517,0,0.000000,0.000000
30,0.00150000,0,1,0,49.910633,0.446100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029006,0.157795,0.023468,0.004603,0,0.000000,0.000000
31,0.00155000,0,1,0,49.937149,0.446169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011727,0.206250,0.026007,0.007863,0,0.000000,0.000000
32,0.00160000,0,1,0,49.961277,0.446221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008620,0.254453,0.029287,0.011968,0,0.000000,0.000000
33,0.00165000,0,1,0,49.982975,0.444832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009568,0.304311,0.033301,0.009676,0,0.000000,0.000000
34,0.00170000,0,1,0,50.002213,0.445796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129104,0.134856,0.034061,0.005939,0,0.000000,0.000000
35,0.00175000,0,1,0,50.018963,0.445774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181750,0.157725,0.035195,0.010318,0,0.000000,0.000000
36,0.00180000,0,1,0,50.033199,0.444415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.254459,0.151442,0.036158,0.009495,0,0.000000,0.000000
37,0.00185000,0,1,0,50.044895,0.445628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.158217,-0.026144,0.033880,0.004165,0,0.000000,0.000000
38,0.00190000,0,1,0,50.054035,0.445664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.204445,-0.055382,0.031190,0.007749,0,0.000000,0.000000
39,0.00195000,0,1,0,50.060612,0.444138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.249529,-0.085857,0.028087,0.006817,0,0.000000,0.000000
40,0.00200000,0,1,0,50.064602,0.446864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049194,-0.069666,0.025429,0.000897,0,0.000000,0.000000
41,0.00205000,0,1,0,50.066002,0.447737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025189,-0.084884,0.022630,0.001332,0,0.000000,0.000000
42,0.00210000,0,1,0,50.064812,0.447935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004794,-0.128911,0.019178,0.003071,0,0.000000,0.000000
43,0.00215000,0,1,0,50.061024,0.448076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009181,-0.172111,0.015121,0.005475,0,0.000000,0.000000
44,0.00220000,0,1,0,50.054653,0.448176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009137,-0.216465,0.010469,0.008660,0,0.000000,0.000000
45,0.00225000,0,1,0,50.045692,0.448241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009823,-0.262586,0.005219,0.012743,0,0.000000,0.000000
46,0.00230000,0,1,0,50.034161,0.446865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009403,-0.310910,-0.000638,0.009975,0,0.000000,0.000000
47,0.00235000,0,1,0,50.020073,0.447804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.133858,-0.135524,-0.003047,0.006236,0,0.000000,0.000000
48,0.00240000,0,1,0,50.003437,0.447780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.188263,-0.158807,-0.005756,0.010863,0,0.000000,0.000000
49,0.00245000,0,1,0,49.984291,0.446422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.263756,-0.152757,-0.008222,0.010027,0,0.000000,0.000000
50,0.00250000,0,1,0,49.962646,0.447476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.169243,0.031897,-0.007236,0.004882,0,0.000000,0.000000
51,0.00255000,0,1,0,49.938530,0.447463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.220584,0.064425,-0.005713,0.009211,0,0.000000,0.000000
52,0.00260000,0,1,0,49.911983,0.445864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.270791,0.099180,-0.003640,0.007750,0,0.000000,0.000000
53,0.00265000,0,1,0,49.883038,0.447168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031230,0.118266,-0.001329,0.002585,0,0.000000,0.000000
54,0.00270000,0,1,0,49.851730,0.447233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013057,0.168408,0.001769,0.005242,0,0.000000,0.000000
